NAME	TITLE	SCORE	
SH3BGRL3	SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]	1.0915645	
IFITM2	interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]	1.0901666	
AOPEP	aminopeptidase O (putative) [Source:HGNC Symbol;Acc:HGNC:1361]	1.0880972	
SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	1.0874175	
H2AC20	H2A clustered histone 20 [Source:HGNC Symbol;Acc:HGNC:4738]	1.0837966	
ELOB	elongin B [Source:HGNC Symbol;Acc:HGNC:11619]	1.0829315	
SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]	1.0827304	
PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	1.0777888	
ASF1B	anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]	1.07766	
TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	1.0748212	
SMIM36	small integral membrane protein 36 [Source:HGNC Symbol;Acc:HGNC:53654]	1.0741373	
NCAPG2	non-SMC condensin II complex subunit G2 [Source:HGNC Symbol;Acc:HGNC:21904]	1.0731547	
LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	1.071178	
HELLS	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]	1.0692965	
SNX9	sorting nexin 9 [Source:HGNC Symbol;Acc:HGNC:14973]	1.0683573	
DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	1.0664289	
PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388]	1.0641367	
GNA13	G protein subunit alpha 13 [Source:HGNC Symbol;Acc:HGNC:4381]	1.0620884	
MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	1.0591604	
PRELID1	PRELI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30255]	1.0576702	
CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	1.0412779	
TACC3	transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]	1.0406154	
CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	1.0391525	
H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	1.036462	
ATP5F1E	ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]	1.036255	
ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	1.03478	
C12orf75	chromosome 12 open reading frame 75 [Source:HGNC Symbol;Acc:HGNC:35164]	1.0346618	
CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	1.0286628	
TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1.0224949	
PHLDA1	pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]	1.0223852	
SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	1.0216873	
TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	1.0157378	
SEC61G	SEC61 translocon subunit gamma [Source:HGNC Symbol;Acc:HGNC:18277]	1.0121144	
PODNL1	podocan like 1 [Source:HGNC Symbol;Acc:HGNC:26275]	1.0094336	
MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	1.0067345	
E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	1.0056802	
PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	1.0055921	
ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	1.0053005	
IMPA2	inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]	1.0051937	
EIF5A	eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]	1.0040072	
